Price;Host Total Listings Count;Accommodates;Bathrooms;Bedrooms;Beds;Guests Included;Extra People;Minimum Nights;Maximum Nights;Availability 90;Availability 365;Room_type_Private room;Room_type_Shared room;Bed_type_Airbed;Bed_type_Couch;Bed_type_Futon;Bed_type_Pull-out Sofa;Bed_type_Real Bed
50.0;2.0;5;2.0;2.0;3.0;2;0;2;1125;50;316;0;0;0;0;0;0;1
128.0;1.0;6;2.0;2.0;3.0;2;15;1;90;41;41;0;0;0;0;0;0;1
55.0;9.0;4;1.0;1.0;2.0;2;12;4;1125;21;109;0;0;0;0;0;0;1
27.0;10.0;2;1.0;1.0;1.0;2;15;1;30;22;268;1;0;0;0;0;0;1
60.0;2.0;2;1.0;0.0;2.0;1;0;1;15;30;30;0;0;0;0;0;0;1
19.0;3.0;2;1.0;1.0;1.0;1;5;1;3;0;0;1;0;0;0;0;0;1
30.0;1.0;2;2.0;1.0;2.0;2;0;2;12;8;8;1;0;0;0;0;0;1
35.0;1.0;2;1.0;1.0;1.0;1;0;1;15;89;89;1;0;0;0;0;0;1
40.0;2.0;2;1.0;1.0;1.0;1;0;1;1125;8;242;0;0;0;0;0;0;1
23.0;2.0;2;1.0;1.0;2.0;1;13;1;1125;90;180;1;0;0;0;0;0;1
21.0;1.0;1;1.0;1.0;1.0;1;14;1;1125;41;316;1;0;0;0;0;0;1
38.0;10.0;7;1.0;2.0;4.0;3;9;1;1125;79;354;0;0;0;0;0;0;1
112.0;147.0;6;1.0;2.0;3.0;1;0;5;1125;0;74;0;0;0;0;0;0;1
35.0;2.0;3;1.0;1.0;2.0;2;15;1;1125;46;315;1;0;0;0;0;0;1
70.0;5.0;3;1.0;0.0;1.0;2;10;3;14;55;330;0;0;0;0;0;0;1
65.0;1.0;2;1.0;1.0;1.0;1;0;1;1125;0;0;0;0;0;0;0;0;1
29.0;1.0;1;1.0;1.0;1.0;1;0;2;1125;72;162;1;0;0;0;0;0;1
40.0;1.0;2;1.0;1.0;1.0;1;0;4;1125;15;19;0;0;0;0;0;0;1
58.0;3.0;2;1.0;0.0;1.0;1;0;2;1125;75;165;0;0;0;0;0;1;0
